Title,Rating,RatingCount,Popularity,Genre,Season,Members,Aired
Fullmetal Alchemist: Brotherhood,9.14,1817666,Popularity #3,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",Spring 2009,"Members 2,850,721","['Apr 5, 2009', 'Jul 4, 2010']"
Gintama°,9.08,210698,Popularity #335,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Spring 2015,"Members 526,513","['Apr 8, 2015', 'Mar 30, 2016']"
Spy x Family,9.09,117793,Popularity #344,"['Action', 'Comedy', 'Childcare', 'Shounen']",Spring 2022,"Members 514,593","['Apr 9, 2022', '?']"
Shingeki no Kyojin Season 3 Part 2,9.08,1271447,Popularity #32,"['Action', 'Drama', 'Gore', 'Military', 'Survival', 'Shounen']",Spring 2019,"Members 1,801,675","['Apr 29, 2019', 'Jul 1, 2019']"
Steins;Gate,9.08,1221522,Popularity #13,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological', 'Time Travel']",Spring 2011,"Members 2,212,555","['Apr 6, 2011', 'Sep 14, 2011']"
Gintama',9.05,204334,Popularity #385,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Spring 2011,"Members 463,736","['Apr 4, 2011', 'Mar 26, 2012']"
Gintama: The Final,9.04,46542,Popularity #1746,"['Action', 'Comedy', 'Drama', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Not Available,"Members 98,426","['Jan 8, 2021']"
Hunter x Hunter (2011),9.05,1453846,Popularity #10,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Fall 2011,"Members 2,333,337","['Oct 2, 2011', 'Sep 24, 2014']"
Fruits Basket: The Final,9.04,160558,Popularity #551,"['Drama', 'Romance', 'Slice of Life', 'Supernatural', 'Shoujo']",Spring 2021,"Members 335,674","['Apr 6, 2021', 'Jun 29, 2021']"
Gintama': Enchousen,9.04,142899,Popularity #695,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Fall 2012,"Members 277,645","['Oct 4, 2012', 'Mar 28, 2013']"
Ginga Eiyuu Densetsu,9.03,69371,Popularity #698,"['Drama', 'Sci-Fi', 'Adult Cast', 'Military', 'Space']",Not Available,"Members 276,880","['Jan 8, 1988', 'Mar 17, 1997']"
Gintama.,8.99,123517,Popularity #735,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Winter 2017,"Members 264,520","['Jan 9, 2017', 'Mar 27, 2017']"
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.97,51952,Popularity #433,"['Comedy', 'Psychological', 'Romantic Subtext', 'School', 'Seinen']",Spring 2022,"Members 415,114","['Apr 9, 2022', '?']"
3-gatsu no Lion 2nd Season,8.96,173963,Popularity #535,"['Drama', 'Slice of Life', 'Childcare', 'Iyashikei', 'Strategy Game', 'Seinen']",Fall 2017,"Members 347,458","['Oct 14, 2017', 'Mar 31, 2018']"
Koe no Katachi,8.96,1350568,Popularity #19,"['Drama', 'Romantic Subtext', 'Shounen']",Not Available,"Members 1,935,666","['Sep 17, 2016']"
Gintama,8.95,352809,Popularity #127,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Spring 2006,"Members 933,707","['Apr 4, 2006', 'Mar 25, 2010']"
Violet Evergarden Movie,8.95,166120,Popularity #424,"['Drama', 'Fantasy', 'Slice of Life']",Not Available,"Members 424,104","['Sep 18, 2020']"
Clannad: After Story,8.94,604294,Popularity #103,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']",Fall 2008,"Members 1,070,913","['Oct 3, 2008', 'Mar 27, 2009']"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.93,119159,Popularity #939,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel', 'Shounen']",Not Available,"Members 207,672","['Jul 6, 2013']"
Code Geass: Hangyaku no Lelouch R2,8.91,1055295,Popularity #47,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']",Spring 2008,"Members 1,551,041","['Apr 6, 2008', 'Sep 28, 2008']"
Shingeki no Kyojin: The Final Season Part 2,8.90,369975,Popularity #164,"['Action', 'Drama', 'Gore', 'Military', 'Survival', 'Shounen']",Winter 2022,"Members 813,914","['Jan 10, 2022', 'Apr 4, 2022']"
Owarimonogatari 2nd Season,8.90,166366,Popularity #538,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",Summer 2017,"Members 344,579","['Aug 12, 2017', 'Aug 13, 2017']"
Kimetsu no Yaiba: Yuukaku-hen,8.89,464102,Popularity #159,"['Action', 'Fantasy', 'Historical', 'Shounen']",Winter 2022,"Members 822,794","['Dec 5, 2021', 'Feb 13, 2022']"
